filter,n,SchNet_R2,SchNet_MAE,GIN_R2,GIN_MAE
rot=0 & chrg_lo,20,0.1707043966256312,0.33795,-0.00930300187088351,0.3896050000000001
chrg_lo,26,0.17059561233751952,0.3515153846153846,-0.11587830126486942,0.44153846153846155
chrg_lo & no_O,26,0.17059561233751952,0.3515153846153846,-0.11587830126486942,0.44153846153846155
chrg_lo & has_5ring,26,0.17059561233751952,0.3515153846153846,-0.11587830126486942,0.44153846153846155
rot>=1 & n_het>=4,11,0.1652223425037308,0.40273636363636367,-0.3484698984793866,0.5778727272727272
chrg_hi & HA>=14,22,0.15758159401598748,0.2746,0.07513531709664445,0.30749090909090915
rot>=1 & has_5ring,12,0.15724174193294238,0.38776666666666676,-0.3629096638587921,0.5542166666666667
rot>=1 & HA>=14,12,0.15724174193294238,0.38776666666666676,-0.3629096638587921,0.5542166666666667
rot>=1,12,0.15724174193294238,0.38776666666666676,-0.3629096638587921,0.5542166666666667
n_N>=1 & rot>=1,11,0.13983048629635497,0.38860000000000006,-0.40492020247001936,0.5659000000000001
n_N>=2 & rot>=1,11,0.13983048629635497,0.38860000000000006,-0.40492020247001936,0.5659000000000001
chrg_hi & n_het>=4,23,0.12532298131711583,0.28186956521739126,0.07079734268781535,0.3088956521739131
n_N>=2 & TPSA_lo,11,0.0833695139529661,0.3881272727272727,-0.06795440859287649,0.4717363636363636
n_N>=1 & TPSA_lo,11,0.0833695139529661,0.3881272727272727,-0.06795440859287649,0.4717363636363636
n_N>=1 & DA<0.2,14,0.08105732452994996,0.3434285714285714,-0.20340518775070415,0.4533642857142857
n_N>=2 & DA<0.2,14,0.08105732452994996,0.3434285714285714,-0.20340518775070415,0.4533642857142857
n_N>=2 & bertz_lo,12,0.0787917261134462,0.276775,0.2069651272241948,0.2935083333333333
n_N>=1 & bertz_lo,12,0.0787917261134462,0.276775,0.2069651272241948,0.2935083333333333
rot=0 & TPSA_lo,22,0.07351754649293085,0.3475409090909091,0.015136211703799973,0.36251818181818185
rot=0 & bertz_lo,23,0.0674514281849723,0.2759,0.19054874895157825,0.2784217391304348
HA<14 & has_5ring,18,0.03678423835087419,0.25473888888888885,0.12588535823615543,0.28005
bertz_lo & HA<14,18,0.03678423835087419,0.25473888888888885,0.12588535823615543,0.28005
HA<14,18,0.03678423835087419,0.25473888888888885,0.12588535823615543,0.28005
rot=0 & HA<14,18,0.03678423835087419,0.25473888888888885,0.12588535823615543,0.28005
DA<0.2 & rot=0,21,0.0199668816540991,0.36935714285714283,-0.003386705525235234,0.35694761904761907
TPSA_lo,26,-0.01635068650052207,0.34893846153846153,-0.046627256076603674,0.3680846153846154
TPSA_lo & has_5ring,26,-0.01635068650052207,0.34893846153846153,-0.046627256076603674,0.3680846153846154
DA<0.2 & HA>=14,16,-0.017729615015733557,0.3765625,-0.22822569446508179,0.44510625
HA>=14 & TPSA_lo,13,-0.02413113318145843,0.4220307692307692,-0.11265145082124906,0.4587461538461538
HA<14 & no_O,13,-0.02626790440673976,0.28304615384615384,0.1308937653024398,0.29712307692307693
chrg_lo & HA<14,13,-0.02626790440673976,0.28304615384615384,0.1308937653024398,0.29712307692307693
DA<0.2 & no_O,21,-0.03348798811090914,0.3428714285714286,-0.21087931879953925,0.39793333333333336
TPSA_lo & no_O,19,-0.05100828675207403,0.36563684210526315,-0.11242690574513259,0.3963947368421053
DA<0.2,26,-0.054864269299156776,0.35357692307692307,-0.15716185189503595,0.38120384615384617
DA<0.2 & has_5ring,26,-0.054864269299156776,0.35357692307692307,-0.15716185189503595,0.38120384615384617
DA<0.2 & chrg_lo,20,-0.05619295290614579,0.35177,-0.21665114817828246,0.399275
DA<0.2 & TPSA_lo,23,-0.05652239246521518,0.37627826086956523,-0.0568111725209508,0.3805782608695652
has_O & has_5ring,20,-0.06494389130297185,0.24505499999999997,0.17648693752130962,0.231065
chrg_hi & has_O,20,-0.06494389130297185,0.24505499999999997,0.17648693752130962,0.231065
has_O,20,-0.06494389130297185,0.24505499999999997,0.17648693752130962,0.231065
chrg_lo & TPSA_lo,18,-0.0736115260067618,0.37678888888888884,-0.11431827134843675,0.3978
DA>=0.2 & has_O,15,-0.08280358608680594,0.1938933333333333,0.1668588211999823,0.20444
bertz_lo,25,-0.09887720094094887,0.29435199999999995,0.13071698972630919,0.286224
bertz_lo & has_5ring,25,-0.09887720094094887,0.29435199999999995,0.13071698972630919,0.286224
rot=0 & has_O,17,-0.1488956444287688,0.2544705882352941,0.18110214889167164,0.22638235294117645
HA>=14 & has_O,15,-0.1676352308143494,0.26635999999999993,0.1669583875767192,0.2295333333333333
has_O & n_het>=4,16,-0.2172248303220914,0.27732499999999993,0.16128337888041422,0.23642499999999997
bertz_lo & chrg_lo,18,-0.2823916327718323,0.3030833333333333,0.0859977512422313,0.28153888888888884
bertz_lo & no_O,18,-0.2823916327718323,0.3030833333333333,0.0859977512422313,0.28153888888888884
bertz_lo & TPSA_lo,19,-0.2842538672527142,0.3219105263157895,0.028206549205763265,0.30087894736842097
TPSA_hi & has_O,13,-0.30547128739303875,0.21352307692307687,0.15835587744373103,0.19866153846153847
